post_id,post_name,post_author,post_date,post_type,post_status,post_tags,post_title,post_content,post_category,numagencia,destacado,antiguedad,"Tipo oferta",keypromo,opcioncompra,latitud,altitud,aseos,banyos,carpinteria,carpinext,comunidadincluida,tbano,tcocina,tfachada,tpostigo,tinterior,distmar,conservacion,habdobles,habitaciones,m_cons,m_parcela,m_uties,m_cocina,m_comedor,m_terraza,numplanta,orientacion,salon,suelo,precioinmo,precioalq,ref,accion,ciudad,cp,zona,adaptadominus,airecentral,aire_con,alarma,alarmaincendio,alarmarobo,arma_empo,ascensor,balcon,bar,barbacoa,cajafuerte,calefacentral,calefaccion,chimenea,cocina_inde,descalcificador,diafano,electro,esquina,galeria,plaza_gara,garajedoble,gasciudad,gimnasio,habjuegos,hidromasaje,jacuzzi,lavanderia,linea_tlf,luminoso,muebles,ojobuey,parking,patio,piscina_com,piscina_prop,preinstaacc,primera_line,puerta_blin,satelite,sauna,solarium,sotano,tv,terraza,terrazaacris,todoext,trastero,urbanizacion,vestuarios,video_port,vistasalmar,energialetra,energiarecibido,descrip1,titulo1,titulo2,descrip2,numfotos,foto1,foto2
2988661,"OPORTUNIDAD! BAR EN VENTA CON INQUILINO",editor@davidberruezo.com,,post,publish,Bar,"OPORTUNIDAD! BAR EN VENTA CON INQUILINO","Bar en venta en Manresa cerca de la Estación de autobuses con inquilino. 42 m. de superficie, propiedad reformada, suelo de parquet, carpintería exterior de aluminio.~Extras: adaptado minusvalidos, agua, bar, bomba frío y  calor, luz, t.v., centros comerciales, zona de paso, licencia de terraza.~~VENTA CON INQUILINO. BUENA RENTABILIDAD DE INVERSIÓN!~~",Bar,3377,3,1978,Bar,0,41.730258,41.730258,1.8349908999999798,0,1,,,0,,,,,"Es un bar de Ivan. Se vende el local  con inquilino. Tiene licencia de Bar y terraza pero es del inquilino. El inquilino paga 300 € al mes + IVA + (ibi y basura ANUAL)~~Lo que se vende es el local con el inquilino, tiene contrato de 5 años hasta 2020 aproximadamente.~~Buena rentabilidaD",0,Reformado,0,0,48,0,42,0,0,0,0,,0,,75000,0,AA01002,Vender,Manresa,08243,"Garatge Blau",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,G,2,"Bar en venta en Manresa cerca de la Estación de autobuses con inquilino. 42 m. de superficie, propiedad reformada, suelo de parquet, carpintería exterior de aluminio.~Extras: adaptado minusvalidos, agua, bar, bomba frío y  calor, luz, t.v., centros comerciales, zona de paso, licencia de terraza.~~VENTA CON INQUILINO. BUENA RENTABILIDAD DE INVERSIÓN!~~","OPORTUNIDAD! BAR EN VENTA CON INQUILINO",,,3,https://fotos5.apinmo.com/3377/2988661/4-1.jpg,https://fotos5.apinmo.com/3377/2988661/4-2.jpg
3165505,"PISO SEMINUEVO EN ZONA CRTA. DE SANTPEDOR",editor@davidberruezo.com,,post,publish,Piso,"PISO SEMINUEVO EN ZONA CRTA. DE SANTPEDOR","Piso seminuevo en Manresa zona Carretera de Santpedor, 108 m. de superficie, 5 m2 de cocina (office), 1 habitacion doble (14 m2 suitte) y 2 habitaciones sencillas (9 / 8 m2), 2 baños , suelo de gres, carpintería exterior aluminio y madera doble cristal.~~¡UNA BUENA OPORTUNIDAD!~~~",Piso,3377,0,1992,Piso,0,41.73052,41.73052,1.8312399999999798,0,2,,,1,,,,,"Actualmente está alquilado pero si se vende se irian los inquilinos o se podrían mantener. Precio negociable hasta 175.000€.~",0,"Semi nuevo",1,2,108,0,93,5,0,0,0,,1,,190000,0,AM01005,Vender,Manresa,08243,"Carretera de Santpedor",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,E,1,"Piso seminuevo en Manresa zona Carretera de Santpedor, 108 m. de superficie, 5 m2 de cocina (office), 1 habitacion doble (14 m2 suitte) y 2 habitaciones sencillas (9 / 8 m2), 2 baños , suelo de gres, carpintería exterior aluminio y madera doble cristal.~~¡UNA BUENA OPORTUNIDAD!~~~","PISO SEMINUEVO EN ZONA CRTA. DE SANTPEDOR",,,10,https://fotos5.apinmo.com/3377/3165505/2-1.jpg,https://fotos5.apinmo.com/3377/3165505/2-2.jpg
3175426,"¡OPORTUNIDAD! PISO EN VENTA",editor@davidberruezo.com,,post,publish,Piso,"¡OPORTUNIDAD! PISO EN VENTA","Piso en Manresa zona Crta. Cardona , 71 m. de superficie, cocina con vitrocerámica, 2 habitaciones dobles (11 / 10 m2) y  una habitación sencilla (7 m2),  un baño de 4 piezas con bañera, propiedad para entrar a vivir, cocina equipada con electrodomésticos, carpintería exterior de aluminio con doble cristal. Parking opcional.~~~",Piso,3377,1,1977,Piso,0,41.7270314,41.7270314,1.8170007999999598,0,1,,,1,,,,,"~El propietario tiene un parking con un inquilino en el edificio de delante,pero  si el comprador busca parking se lo vendería.",0,"Entrar a vivir",2,1,71,0,61,5,0,0,0,,1,,59500,0,AM01006,Vender,Manresa,08240,"Carretera Cardona",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,G,2,"Piso en Manresa zona Crta. Cardona , 71 m. de superficie, cocina con vitrocerámica, 2 habitaciones dobles (11 / 10 m2) y  una habitación sencilla (7 m2),  un baño de 4 piezas con bañera, propiedad para entrar a vivir, cocina equipada con electrodomésticos, carpintería exterior de aluminio con doble cristal. Parking opcional.~~~","¡OPORTUNIDAD! PISO EN VENTA",,,8,https://fotos5.apinmo.com/3377/3175426/7-1.jpg,https://fotos5.apinmo.com/3377/3175426/7-2.jpg
3221982,"CASA CON SOLAR IDEAL CONSTRUCTORES",editor@davidberruezo.com,,post,publish,Casa,"CASA CON SOLAR IDEAL CONSTRUCTORES","Casa con solar para reformar o construir edificio en El Pont de Vilomara i Rocafort , de 74 m. de superficie y 153 m. de parcela, con cocina, comedor, 2 habitaciones dobles y una habitación individual,  un baño y  un aseo y dos trasteros.~El solar tiene 7,5 metros de fachada por 18,71 metros de hondo.~~¡IDEAL PARA CONSTRUCTORES!",Casa,3377,1,1923,Casa,0,41.7005399,41.7005399,1.8723199999999451,1,1,,,0,,,,,,0,"Para reformar",2,1,74,153,64,6,12,0,1,,1,,53000,0,AM01012,Vender,"El Pont de Vilomara i Rocafort",08254,centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,G,0,"Casa con solar para reformar o construir edificio en El Pont de Vilomara i Rocafort , de 74 m. de superficie y 153 m. de parcela, con cocina, comedor, 2 habitaciones dobles y una habitación individual,  un baño y  un aseo y dos trasteros.~El solar tiene 7,5 metros de fachada por 18,71 metros de hondo.~~¡IDEAL PARA CONSTRUCTORES!","CASA CON SOLAR IDEAL CONSTRUCTORES",,,9,https://fotos5.apinmo.com/3377/3221982/3-1.jpg,https://fotos5.apinmo.com/3377/3221982/3-2.jpg
3238347,"PISO SEMINUEVO EN AVINYÓ IDEAL INVERSORES",editor@davidberruezo.com,,post,publish,"Planta baja","PISO SEMINUEVO EN AVINYÓ IDEAL INVERSORES","Piso en Avinyo cerca del ayuntamiento, 62 m. de superficie,  de cocina equipada con nevera, lavavajillas, horno y microondas,  una habitación doble  y  una habitación sencilla , baño 4 piezas con bañera, suelo de gres y parquet, carpintería exterior de aluminio / climalit y calefacción.~~¡PISO SEMINUEVO ECONÓMICO!~~En la actualidad está alquilado, consultar rentabilidad~~~","Planta baja",3377,0,2006,"Planta baja",0,41.86202,41.86202,1.969789999999989,0,1,,,1,,,,,"Dejan algunos muebles, pocos,  pero más que nada electrodomésticos de la cocina. Está en alquiler y venta, hay posibilidad de alquiler con opción a compra.~~En el alquiler estaría incluido comunidad y IBI~~Basuras a cargo del inquilino unos 84 € al año~~Honorarios propietario: 1 mes.~~Tiene hipoteca de unos 55.000 € a favor del banco santander.~~En octubre ha entrado a vivir un inquilino, si hay algún interesado, llamar a la propietaria para averiguar importe alquiler y demás",0,"Semi nuevo",1,1,62,0,53,4,0,3,0,,1,,64000,0,AM01014,Vender,Avinyo,08279,Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,G,2,"Piso en Avinyo cerca del ayuntamiento, 62 m. de superficie,  de cocina equipada con nevera, lavavajillas, horno y microondas,  una habitación doble  y  una habitación sencilla , baño 4 piezas con bañera, suelo de gres y parquet, carpintería exterior de aluminio / climalit y calefacción.~~¡PISO SEMINUEVO ECONÓMICO!~~En la actualidad está alquilado, consultar rentabilidad~~~","PISO SEMINUEVO EN AVINYÓ IDEAL INVERSORES",,,6,https://fotos5.apinmo.com/3377/3238347/2-1.jpg,https://fotos5.apinmo.com/3377/3238347/2-2.jpg
3241138,"DÚPLEX EN EL PONT DE VILOMARA",editor@davidberruezo.com,,post,publish,Dúplex,"DÚPLEX EN EL PONT DE VILOMARA","Dúplex en El Pont de Vilomara i Rocafort zona ayuntamiento de 80 m.. Primera planta con comedor, cocina amueblada, habitación individual, baño con ducha y balcón con salida al comedor. En la planta superior, estudio, dos habitaciones dobles, un baño con bañera hidromasaje y terraza. Con párking y trastero. Contadores dados de alta.~~¡ESTUPENDO DÚPLEX EN VENTA!",Dúplex,3377,0,2005,Dúplex,0,41.7011066,41.7011066,1.8729022999999643,0,2,,,0,,,,,"DISTRIBUCIÓN~PLANTA DE ABAJO:RECIBIDOR, COCINA, COMEDOR, HABITACIÓN INDIVIDUAL, BAÑO DE 3 PIEZAS CON DUCHA, BALCÓN CON SALIDA DESDE COMEDOR.~PLANTA SUPERIOR: ESTUDIO, 2 HABITACIONES DOBLES, 1 BAÑO CON BAÑERA HIDROMASAJE, TERRAZA~~HAY DOS COMUNIDADES, LA DE LA ESCALERA Y LA DEL PARKING~CONTRIBUCIÓN 550€-600€~~PRECIO NO NEGOCIABLE~HIPOTECA PENDIENTE 80000€",0,"Semi nuevo",2,1,97,0,80,0,20,13,2,Este,0,,150000,0,AM01017,Vender,"El Pont de Vilomara i Rocafort",08254,AJUNTAMENT,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,6,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,E,0,"Dúplex en El Pont de Vilomara i Rocafort zona ayuntamiento de 80 m.. Primera planta con comedor, cocina amueblada, habitación individual, baño con ducha y balcón con salida al comedor. En la planta superior, estudio, dos habitaciones dobles, un baño con bañera hidromasaje y terraza. Con párking y trastero. Contadores dados de alta.~~¡ESTUPENDO DÚPLEX EN VENTA!","DÚPLEX EN EL PONT DE VILOMARA",,,7,https://fotos5.apinmo.com/3377/3241138/3-1.jpg,https://fotos5.apinmo.com/3377/3241138/3-2.jpg
3269900,"PISO EN VENTA MUY ECONÓMICO EN NAVÁS 34.000 €",editor@davidberruezo.com,,post,publish,"Planta baja","PISO EN VENTA MUY ECONÓMICO EN NAVÁS 34.000 €","Piso en venta muy económico en Navas, de 81 m., con cocina, comedor, 3 habitaciones dobles, una habitación sencilla,  un baño y lavadero. Amueblado y con los contadores dados de alta, apto para entrar a vivir.~~ ¡PISO IDEAL PARA PARTICULARES E INVERSORES!","Planta baja",3377,1,1963,"Planta baja",0,41.89606,41.89606,1.875440000000026,0,1,,,0,,,,,"TIENE DOS ACCESOS, DESDE LA ESCALERA COMUNITARIA Y DIRECTAMENTE DESDE LA CALLE.~PISO BJS 2ª~ES UNA HERENCIA~LIBRE DE CARGAS~",0,"De origen",3,1,81,0,70,4,15,0,0,,0,,34000,0,AM01025,Vender,Navas,08670,"zona deportiva",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,G,1,"Piso en venta muy económico en Navas, de 81 m., con cocina, comedor, 3 habitaciones dobles, una habitación sencilla,  un baño y lavadero. Amueblado y con los contadores dados de alta, apto para entrar a vivir.~~ ¡PISO IDEAL PARA PARTICULARES E INVERSORES!","PISO EN VENTA MUY ECONÓMICO EN NAVÁS 34.000 €",,,9,https://fotos5.apinmo.com/3377/3269900/2-1.jpg,https://fotos5.apinmo.com/3377/3269900/2-2.jpg
3281147,"CASA A 4 VIENTOS EN VENTA CON 5 HAB. EN EL CALVET",editor@davidberruezo.com,,post,publish,Casa,"CASA A 4 VIENTOS EN VENTA CON 5 HAB. EN EL CALVET","Casa a 4 vientos en venta en Sant Salvador de Guardiola zona El Calvet de 202 m. P.B. Comedor, cocina, baño, terraza y garaje. P.1. 3 habitaciones dobles, 2 habitaciones individuales, un baño y terraza. P.2. Golfas. Con pozo y bodega. Contadores dados de alta.~~FANTÁSTICA CASA A 4 VIENTOS!~",Casa,3377,0,1980,Casa,0,41.68328,41.68328,1.7834000000000287,0,2,,,0,,,,,"CASA A 4 VIENTOS.~P.B. 78 M2 CONSTRUIDOS + 35M2 GARAJE . COMEDOR, COCINA Y ASEO - TERRAZA~P.1. 56M2 - 5 HABITACIONES Y BAÑO. SALIDA A TERRAZA DESDE LAS HABITACIONES PEQUEÑAS Y LA DE MATRIMONIO. TERRAZA~P.2. GOLFAS: 19 M.~POZO CON UNOS 8000L. APROX~BODEGA DE 10M~TIENE ACCESO POR DOS CALLES: C/CALVET 32 BIS (ENTRADA PRINCIPAL) Y C/MONTSERRAT 28~~PRECIO NEGOCIABLE",0,"Buen estado",3,2,202,260,175,8,20,60,3,,0,,179000,0,AM01040,Vender,"Sant Salvador de Guardiola",08253,"El Calvet",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,3,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,G,2,"Casa a 4 vientos en venta en Sant Salvador de Guardiola zona El Calvet de 202 m. P.B. Comedor, cocina, baño, terraza y garaje. P.1. 3 habitaciones dobles, 2 habitaciones individuales, un baño y terraza. P.2. Golfas. Con pozo y bodega. Contadores dados de alta.~~FANTÁSTICA CASA A 4 VIENTOS!~","CASA A 4 VIENTOS EN VENTA CON 5 HAB. EN EL CALVET",,,18,https://fotos5.apinmo.com/3377/3281147/4-1.jpg,https://fotos5.apinmo.com/3377/3281147/4-2.jpg
3290791,"PISO EN VENTA CON PARKING Y TRASTERO ZONA POBLE NOU DE MANRESA",editor@davidberruezo.com,,post,publish,Piso,"PISO EN VENTA CON PARKING Y TRASTERO ZONA POBLE NOU DE MANRESA","Piso en Manresa zona Poble Nou de 118 m., con cocina office, amplio comedor, 3 habitaciones dobles, una habitación individual,  un baño con bañera,  aseo, balcón y lavadero. Terraza con barbacoa en la azotea y trastero de 10m2. Párking y trastero incluido. Contadores dados de alta.~~PISO EN VENTA CON TERRAZA Y BARBACOA!~",Piso,3377,0,1974,Piso,0,41.7334179,41.7334179,1.8268562000000657,1,1,,,0,,,,,"Tiene trastero que se puede poner TV con agua y luz, y una terraza propia con barbacoa en la zotea.~Todo exterior~En los bajos tiene un párking y otro trastero de 10m2.~Sin ascensor~",0,"Buen estado",3,1,118,0,102,7,20,15,0,,0,,116000,0,AM01050,Vender,Manresa,08240,"Poble Nou",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,G,2,"Piso en Manresa zona Poble Nou de 118 m., con cocina office, amplio comedor, 3 habitaciones dobles, una habitación individual,  un baño con bañera,  aseo, balcón y lavadero. Terraza con barbacoa en la azotea y trastero de 10m2. Párking y trastero incluido. Contadores dados de alta.~~PISO EN VENTA CON TERRAZA Y BARBACOA!~","PISO EN VENTA CON PARKING Y TRASTERO ZONA POBLE NOU DE MANRESA",,,19,https://fotos5.apinmo.com/3377/3290791/4-1.jpg,https://fotos5.apinmo.com/3377/3290791/4-2.jpg
3314069,"SOLAR EN VENTA EN CASTELLGALI",editor@davidberruezo.com,,post,publish,"Terreno urbanizable","SOLAR EN VENTA EN CASTELLGALI","Solar en Castellgali zona Mas planoi de 460 m. superficie de parcela., 17 m de fachada y 31m de hondo aproximadamente.~~PARCELA ESPECTACULAR PARA CONSTRUIR LA CASA DE SUS SUEÑOS!~","Terreno urbanizable",3377,0,0,"Terreno urbanizable",0,41.666962,41.666962,1.835150399999975,0,0,,,0,,,,,,0,Ninguno,0,0,0,460,0,0,0,0,0,,0,,80000,0,AM01042,Vender,Castellgali,08279,"Mas planoi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,3,"Solar en Castellgali zona Mas planoi de 460 m. superficie de parcela., 17 m de fachada y 31m de hondo aproximadamente.~~PARCELA ESPECTACULAR PARA CONSTRUIR LA CASA DE SUS SUEÑOS!~","SOLAR EN VENTA EN CASTELLGALI",,,1,https://fotos5.apinmo.com/3377/3314069/4-1.jpg,
